n,ID,Unnamed: 0,ID_next,length,area,slope
85,3014497.0,151312,3026664.0,25713.98654210816,513332190.32845175,0.001322237605761
86,3014628.0,151443,3040593.0,23058.12928891853,518946259.0531535,0.004553708528751
87,3014791.0,151606,3030738.0,14782.051798546496,524166221.1745933,0.000608846466151
88,3014862.0,151677,3021928.0,20418.774097646157,530107662.0966108,0.003526166637413
89,3014941.0,151756,3025995.0,14322.131250746472,527430991.5969854,6.98220106e-05
90,3015031.0,151846,3027598.0,33704.99930454742,529418964.6647067,0.0046580626981
91,3015152.0,151967,3033384.0,60892.94700294068,535212546.645592,0.003941343157335
92,3015586.0,152401,3042525.0,69729.5377949764,555352209.590039,0.002108145337665
93,3015660.0,152475,3023314.0,29872.932033743356,557182783.8622458,0.000769927771871
94,3016005.0,152820,3030413.0,28571.7266108959,564177728.8641558,0.004234955823561
95,3016302.0,153117,3028999.0,28276.068950215893,574907262.3111538,0.001732914150346
96,3016827.0,153642,3028180.0,9392.55981770608,595115129.9153962,0.0
97,3017071.0,153886,3028312.0,55436.81339052552,603930545.0676337,0.005826453222061
98,3017748.0,154563,3029355.0,27961.75739285761,630915213.2250416,0.001251709594224
99,3017838.0,154653,3044044.0,27339.47935306492,637234059.250895,0.0
100,3018060.0,154875,3037796.0,42794.12747447212,649577541.9142388,0.003715463064292
101,3018105.0,154920,3028312.0,36940.026202698464,645620257.1707909,0.003871139647149
102,3018218.0,155033,3031629.0,50116.561323475726,650015603.1461679,0.000997674195507
103,3018261.0,155076,3029448.0,33271.30652994923,654987544.9405097,0.008175212468893
104,3018416.0,155231,3044094.0,29435.675299681137,664457910.4720428,0.00129095050863
105,3018561.0,155376,3032856.0,34488.678416896764,664330692.591617,0.000434925334589
106,3018570.0,155385,3042412.0,47211.31108191183,667505059.0016879,0.00224522466271
107,3018620.0,155435,3034098.0,40598.530418172006,672476608.9687088,0.002118303276355
108,3018830.0,155645,3036346.0,40552.02182061203,686374977.247644,0.00180015685341
109,3019668.0,156483,3037200.0,23253.15846599829,102942913.35316695,0.003956451771252
110,3019794.0,156609,3030067.0,32404.829149304816,730721402.1922402,0.003147678993462
111,3020027.0,156842,3025858.0,83533.75641873584,745615035.3483176,0.004094153246092
112,3020150.0,156965,3032924.0,65215.53076794618,747750516.448445,0.004845471566036
113,3020366.0,157181,3040544.0,53502.83223575426,760611470.2531499,0.002579302706666
114,3020441.0,157256,3041376.0,17250.020071262545,68274697.51321156,0.004231879133962
115,3020893.0,157708,3034090.0,53213.73036013486,796040904.4098572,0.004040310621807
116,3021528.0,158343,3043993.0,14278.382060043034,141620786.20625734,0.000910467302621
117,3021587.0,158402,3031311.0,52498.36565858565,840650958.4518555,0.001028603449318
118,3021795.0,158610,3028999.0,7065.409771192563,19548607.58572905,0.000566138430684
119,3021928.0,158743,3042570.0,14573.12583013168,87097614.7073789,0.002813397789733
120,3022041.0,158856,3034530.0,43922.51569902011,871293995.4445621,0.001730319832334
121,3022052.0,158867,3030067.0,77363.42835905582,870392168.726661,0.000504114163853
122,3022164.0,158979,3035647.0,74352.52067798504,871541943.945795,0.00412897904739
123,3022302.0,159117,3028180.0,57512.0895894033,888606104.1688223,0.000399915916187
124,3022367.0,159182,3031629.0,55267.26285398525,890276457.0444726,0.001610356572844
125,3022411.0,159226,3029895.0,13549.276109181868,197385894.7159986,0.005461546388434
126,3022587.0,159402,3030396.0,72606.89288298893,910083247.6698426,0.000867686214056
127,3022708.0,159523,3031982.0,86603.1564629497,919967271.0092793,0.002782808500786
128,3022870.0,159685,3027598.0,63346.75387780405,929421661.943045,0.002431063796845
129,3022963.0,159778,3035173.0,17467.00540957153,73070914.83568361,0.007557105348331
130,3022980.0,159795,3030965.0,78349.89892994585,943157656.2819344,0.000650926174718
131,3023005.0,159820,3029175.0,58249.6260206621,949229123.0164652,0.001699581727184
132,3023105.0,159920,3042499.0,60786.031094818274,959154413.331682,0.001974137772095
