AH4_LAKE_ID,GRAND_ID,Hylak_id,GLWD_ID,CTR_LONWGS84,CTR_LATWGS84,WATERBODY_DAM_BRANCH,TYPE,AREA,EL_SPL,EL_LIM,EL_MIN,EL_ZERO,OPS_AMP,OPS_PHA,OPS_MEAN,SPL_COEFF,SPL_EXP,BR_FRAC,BR_MX_MAIN,BR_MN_MAIN,BR_MX_BR,BR_DEST_LONWGS84,BR_DEST_LATWGS84,SOURCE,SOURCE_ELEVS,SOURCE_OPS,SOURCE_SPILL,SOURCE_BRAN
106431,0,0,14108,33.864937,62.882019,none,Lake,11553721,159,158.999,158.998,148.6,0,0,0,56.4,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
108252,0,0,17504,-91.28709,49.861858,none,Lake,11548423,403,402.999,402.998,392.6,0,0,0,55.8,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
108032,0,0,17094,-113.498301,56.993827,none,Lake,11547511,535,534.999,534.998,524.6,0,0,0,56.1,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
107651,0,0,16392,154.501946,68.667147,none,Lake,11546115,28,27.999,27.998,17.6,0,0,0,55.7,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
106394,0,0,14018,-101.532001,56.810539,none,Lake,11546075,394,393.999,393.998,383.6,0,0,0,56.3,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
107139,0,0,15429,-98.011668,56.312476,none,Lake,11545594,280,279.999,279.998,269.6,0,0,0,56.9,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
105746,0,0,12846,-100.434221,53.698205,none,Lake,11544867,256,255.999,255.998,245.6,0,0,0,55,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
107240,0,0,15597,-92.291406,48.904179,none,Lake,11538552,379,378.999,378.998,368.6,0,0,0,55.6,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
107765,0,0,16591,-155.328025,60.350502,none,Lake,11537955,272,271.999,271.998,261.6,0,0,0,56.9,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
106977,0,0,15144,-98.738928,56.330527,none,Lake,11536796,285,284.999,284.998,274.6,0,0,0,56.5,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
103786,0,0,8985,-105.396158,59.839883,none,Lake,11535048,454,453.999,453.998,443.6,0,0,0,56.4,2,0,0,0,0,0,0,15,AHYPEv4 LakeData,*NONE*,AHYPEv4 LakeData,*NONE*
